sweep,trial,state,epochs,best_val_avg_jet_acc,hidden_dim,learning_rate,dropout,batch_size,num_embedding_layers
vanilla,g2vc1w2g,finished,50,0.4124,128,0.00047266821392678415,0.2397877826065509,2048,6
vanilla,6dd6mvpv,finished,50,0.4064,256,0.00030268666130627226,0.2643174837770652,2048,14
vanilla,wclzbk8u,finished,50,0.394,128,0.0004490769426577584,0.24857038731466477,2048,6
vanilla,w6podt1t,crashed,15,0.3907,128,0.0005820227119208908,0.27266866430165615,2048,6
vanilla,1d6qz63u,crashed,15,0.3878,128,0.000434999776036891,0.23244339818615536,2048,6
vanilla,ickk4hl3,crashed,45,0.3872,256,0.0006918484518852536,0.1398185687940936,2048,10
vanilla,6ljjlx35,crashed,15,0.3843,256,0.00048247339625462246,0.23316927734185028,2048,6
vanilla,1ussyakc,crashed,15,0.3599,256,0.00027406640964131203,0.13015882487632813,2048,10
vanilla,ce5ymtjx,crashed,15,0.3589,64,0.0008480607180868549,0.15491252026086438,1024,14
vanilla,wf53czly,failed,0,,256,0.0006017469678417099,0.23164927762604837,2048,10
blocks,gs8pex8v,finished,50,0.4293,64,0.0007344299982717679,0.2978723651141102,512,10
blocks,e19osz6f,finished,50,0.4231,128,0.0003626107505628052,0.2978502862479677,512,6
blocks,sqjfkudn,finished,50,0.4209,128,0.0003867440828930484,0.2454515387651757,512,10
blocks,59ynqfj2,crashed,45,0.4073,256,0.00014023958336608142,0.29111441120817494,512,14
blocks,nucmi0u1,finished,50,0.4054,128,0.0006144894218768826,0.2595133647642579,2048,6
blocks,amvz3ch1,crashed,15,0.4038,128,0.00021284925886345515,0.20021280877836,1024,10
blocks,iflm6fht,finished,50,0.4014,256,0.00011712902303919398,0.26251405799488203,2048,6
blocks,33r5r2wd,crashed,15,0.4005,64,0.00016045023811285788,0.13805027573582035,2048,14
blocks,g4zoxlct,finished,50,0.4005,64,0.000953459377113492,0.11962605750158786,1024,14
blocks,n2m3adwr,crashed,15,0.3934,128,0.0001787803981085858,0.15537113659220475,2048,10
blocks,hvep36x3,crashed,15,0.3933,128,0.00029935501084474346,0.28754425120371396,512,6
blocks,urevv0fv,crashed,45,0.3843,128,0.0006688447873524265,0.22310330224624103,512,14
blocks,byeva76u,crashed,15,0.3805,64,0.00011212701630929652,0.22872469857419828,1024,10
blocks,pg1oteh2,finished,50,0.3797,256,0.0001818236605881285,0.2643343825707667,1024,10
blocks,dbe8bqmr,finished,50,0.377,256,0.0001262823606148832,0.14338894663829643,512,10
blocks,sxwt6rms,crashed,15,0.3688,64,0.00010175742803218096,0.23696665082470517,1024,6
blocks,afjbmku5,crashed,15,0.3657,256,0.0007859303431537349,0.1698716530937768,512,6
blocks,ctufruib,crashed,15,0.361,64,0.000139242590613041,0.16234489156944748,2048,6
blocks,76iqfx3n,crashed,15,0.3606,64,0.00014250918625230842,0.11598427564708046,512,6
blocks,niy1tnav,crashed,15,0.3483,128,0.00010265368914314714,0.18506091949781375,512,10
